lattice diameter Temperature    PS
100.00    19.87   546.15   200.00
t(s)      gC/gcat/min     nm/s       CXFNum     coverage
938.13518     0.00021     0.00283     0.00000     0.00000
941.91942     0.00021     0.00283     0.00000     0.00000
945.49511     0.00021     0.00283     0.00000     0.00000
949.74927     0.00021     0.00283     0.00000     0.00000
953.85081     0.00021     0.00283     0.00000     0.00000
957.80692     0.00021     0.00283     0.00000     0.00000
962.34342     0.00021     0.00282     0.00000     0.00000
966.65258     0.00021     0.00282     0.00000     0.00000
970.13836     0.00021     0.00282     0.00000     0.00000
974.15357     0.00021     0.00282     0.00000     0.00000
977.72030     0.00021     0.00283     0.00000     0.00000
981.23646     0.00021     0.00283     0.00000     0.00000
985.52152     0.00021     0.00282     0.00000     0.00000
988.69457     0.00021     0.00283     0.00000     0.00000
993.02963     0.00021     0.00283     0.00000     0.00000
996.82948     0.00021     0.00283     0.00000     0.00000
1000.80134     0.00021     0.00283     0.00000     0.00000
1003.59411     0.00021     0.00283     0.00000     0.00000
1008.06344     0.00021     0.00283     0.00000     0.00000
1011.90410     0.00021     0.00283     0.00000     0.00000
1016.42959     0.00021     0.00283     0.00000     0.00000
1020.61901     0.00021     0.00282     0.00000     0.00000
1024.89503     0.00021     0.00282     0.00000     0.00000
1028.89780     0.00021     0.00282     0.00000     0.00000
1032.08830     0.00021     0.00283     0.00000     0.00000
1035.96750     0.00021     0.00283     0.00000     0.00000
1039.31249     0.00021     0.00283     0.00000     0.00000
1042.96219     0.00021     0.00283     0.00000     0.00000
1046.52196     0.00021     0.00283     0.00000     0.00000
1050.97589     0.00021     0.00283     0.00000     0.00000
1054.33656     0.00021     0.00283     0.00000     0.00000
1057.91901     0.00021     0.00283     0.00000     0.00000
1062.26695     0.00021     0.00283     0.00000     0.00000
1066.50175     0.00021     0.00283     0.00000     0.00000
1070.68005     0.00021     0.00283     0.00000     0.00000
1074.28660     0.00021     0.00283     0.00000     0.00000
1078.31809     0.00021     0.00283     0.00000     0.00000
1082.22263     0.00021     0.00283     0.00000     0.00000
1086.91490     0.00021     0.00283     0.00000     0.00000
1090.62082     0.00021     0.00283     0.00000     0.00000
1094.45910     0.00021     0.00283     0.00000     0.00000
1098.93369     0.00021     0.00283     0.00000     0.00000
1101.84028     0.00021     0.00283     0.00000     0.00000
1106.11461     0.00021     0.00283     0.00000     0.00000
1109.01857     0.00021     0.00283     0.00000     0.00000
1112.49745     0.00021     0.00283     0.00000     0.00000
1116.09326     0.00021     0.00283     0.00000     0.00000
1120.10840     0.00021     0.00283     0.00000     0.00000
1123.44324     0.00021     0.00284     0.00000     0.00000
1126.38221     0.00021     0.00284     0.00000     0.00000
1130.71576     0.00021     0.00284     0.00000     0.00000
1134.29423     0.00021     0.00284     0.00000     0.00000
1139.00990     0.00021     0.00283     0.00000     0.00000
1143.50868     0.00021     0.00283     0.00000     0.00000
1147.30960     0.00021     0.00283     0.00000     0.00000
1151.64723     0.00021     0.00283     0.00000     0.00000
1155.46245     0.00021     0.00283     0.00000     0.00000
1158.75667     0.00021     0.00283     0.00000     0.00000
1162.32556     0.00021     0.00283     0.00000     0.00000
1165.38919     0.00021     0.00284     0.00000     0.00000
1168.82765     0.00021     0.00284     0.00000     0.00000
1172.27784     0.00021     0.00284     0.00000     0.00000
